ID,rule_1_1,rule_1_11,rule_1_13,rule_1_14,rule_1_15,rule_1_15A,rule_1_15B,rule_1_16,rule_1_2,rule_1_3,rule_1_4,rule_1_5,rule_1_6,rule_1_7,rule_1_8,rule_1_9,rule_2_1,rule_2_2,rule_2_3,rule_2_4,rule_3_1,rule_3_2,rule_3_3,rule_3_4,rule_3_5,rule_3_6,rule_3_7,rule_3_8,rule_3_9,rule_4_1,rule_4_2,rule_4_3,rule_4_4,rule_5_1,rule_5_2,rule_5_3,rule_5_4,rule_5_5,rule_5_6,rule_5_7,rule_5_8,rule_6_1,rule_6_2,rule_6_3,rule_6_4,rule_6_5,rule_7_1,rule_7_2,rule_7_3,rule_7_4,rule_7_5,rule_7_6,rule_8_1,rule_8_2,rule_8_4,rule_8_4a,rule_8_4b,rule_8_4c,rule_8_4d,rule_8_4i,rule_8_4j,rule_8_4k,rule_8_4l,rule_8_4n,rule_8_5,PC1,PC2,PC3,PC4,PC5,PC6
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-3.2165737,-.93784392,.53912312,.018669989,-.89816844,-.45691097
58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.1139119,-1.125841,-.92048687,-.2425715,-.30177209,-.34022945
59,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.39567447,2.8905747,-.96772248,1.2668205,-.33898842,1.2449355
60,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.15907696,-1.7830637,.73128939,.46522212,.53984141,-1.1825932
61,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-1.5623947,2.3473434,-.73594177,1.8040788,.18081474,.30898169
62,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-2.4334135,1.0228134,.40920416,1.7662085,.1014372,1.4793638
63,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,-6.713274,2.0785892,2.0123768,1.0407542,-1.5785877,2.2903709
64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-3.7486374,-.44094267,1.2542313,-.73414171,-1.2043746,-1.1904641
65,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,-2.6941803,1.9629679,-.3179096,.89573586,-.49952435,.47096178
66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,-3.2165737,-.93784392,.53912312,.018669989,-.89816844,-.45691097
